pathway	description	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
PWY-7187	pyrimidine deoxyribonucleotides de novo biosynthesis II	4582.6216	5867.9023	5504.3015	8720.6438	6439.2968	8268.5177	3394.2222	5267.7843	6643.0462	4844.9165	4897.4776	4878.9056	7078.266	8047.2157	5403.7289	5067.420999999999	6844.2369	5954.0869
PWY-7196	superpathway of pyrimidine ribonucleosides salvage	11200.6046	12802.8481	14309.6966	13654.1118	12701.5297	13599.0711	9806.4773	12207.0916	14449.395	10667.0552	11010.0352	12310.4213	14768.6125	15301.723999999998	13518.3049	13750.1783	14510.1114	13145.7005
PWY-7197	pyrimidine deoxyribonucleotide phosphorylation	15615.3609	17025.7643	18973.6497	18469.9673	18448.4927	18289.4144	12989.6838	15895.8535	17247.0775	13506.0389	15159.111	16020.7794	19073.2	20308.4456	18461.9448	18850.2522	19481.4889	18126.342
PWY-7198	pyrimidine deoxyribonucleotides de novo biosynthesis IV	0.0	0.0	34.9574	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-7199	pyrimidine deoxyribonucleosides salvage	10841.9911	12292.9697	13830.7211	13506.2028	13139.6714	12971.8974	7757.7994	10676.9811	12404.7459	9561.7471	9725.0642	10098.1128	13093.3999	14286.5361	11788.4055	12797.8185	13200.9501	12104.1404
PWY-7200	superpathway of pyrimidine deoxyribonucleoside salvage	12050.1323	13792.0259	15240.9616	14833.7675	14282.339	14398.9246	9446.855	12471.9526	14008.8677	10783.2395	11460.9345	12067.094	14985.9098	16071.469	13902.6851	14715.7893	15158.0603	13954.2973
PWY-7208	superpathway of pyrimidine nucleobases salvage	19211.8564	20939.5456	23769.1378	23033.5957	22970.4284	22541.9452	16191.7009	20294.277	22283.9739	17231.8214	18781.2519	19967.3914	23982.3717	25771.8504	23068.1241	23411.2433	24289.1643	22630.5068
PWY-7209	superpathway of pyrimidine ribonucleosides degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.9863	0.0
PWY-7210	pyrimidine deoxyribonucleotides biosynthesis from CTP	0.0	0.0	49.9099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.9718	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-7211	superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis	17332.049	18395.9004	21221.9674	20566.7558	21068.3239	20463.1351	13922.6011	17351.0614	19001.6135	15095.4767	16547.6166	17329.9774	20556.3517	22474.5228	20072.3214	20411.7951	21340.9933	19831.9718
PWY-7219	adenosine ribonucleotides de novo biosynthesis	18958.0964	20541.4885	23016.7416	22303.0862	22570.5171	22144.7552	15799.4153	19516.2225	21250.2263	16563.1499	18439.5721	19524.3614	23140.9306	24754.3008	22458.8899	22602.2987	23382.5749	21905.147999999997
PWY-722	nicotinate degradation I	412.8543	380.1971	721.3622	766.5803	921.3115	737.6311	174.8777	220.0266	312.6225	249.7916	430.3192	332.6057	334.2583	570.8458	276.8956	344.7188	551.8924	368.4467
PWY-7220	adenosine deoxyribonucleotides de novo biosynthesis II	18984.2278	20299.7405	23066.8141	22526.1881	22772.743	22326.3205	15665.5051	19425.4948	21421.2865	16674.8205	18301.8781	19382.3324	23220.6419	25071.7828	22342.7039	22950.2347	23736.4792	21915.9104
PWY-7221	guanosine ribonucleotides de novo biosynthesis	17898.9423	19824.6925	22142.5426	21370.3445	20945.9965	20962.0853	14829.795	18448.4603	20259.1698	15706.5397	17471.8936	18217.9547	21906.0536	23465.9682	21301.0191	21858.3426	22349.1517	20940.2288
PWY-7222	guanosine deoxyribonucleotides de novo biosynthesis II	18984.2278	20299.7405	23066.8141	22526.1881	22772.743	22326.3205	15665.5051	19425.4948	21421.2865	16674.8205	18301.8781	19382.3324	23220.6419	25071.7828	22342.7039	22950.2347	23736.4792	21915.9104
PWY-7228	superpathway of guanosine nucleotides de novo biosynthesis I	18967.374	20746.5816	23296.867000000002	22622.174	22370.3967	22246.5436	15665.5875	19476.2672	21454.9575	16654.3193	18429.5246	19298.5685	23223.3254	24941.3904	22472.5281	23108.8079	23707.6237	22067.2994
PWY-7229	superpathway of adenosine nucleotides de novo biosynthesis I	19665.2869	21207.4075	23892.0014	23229.1581	23514.9906	23041.0924	16268.3997	20067.4786	22064.7262	17213.9222	18998.0631	20128.3669	23972.2621	25801.4489	23197.3223	23526.2456	24340.7883	22663.9594
PWY-7234	inosine-5'-phosphate biosynthesis III	15169.7174	16136.8882	18629.8466	18010.4287	18265.0159	17616.9732	12467.6718	15457.641000000001	17036.7067	13209.2805	14662.7348	15417.4645	18358.2847	19902.3283	17778.1874	18140.9359	18803.932	17498.5914
PWY-7237	myo-, chiro- and scillo-inositol degradation	6191.0	7772.25	7602.0	8975.66	7405.5	7356.5	4313.58	6778.25	8512.0	6160.66	6261.75	6680.75	7808.25	8854.25	6683.0	9481.5	9203.35	6706.5
PWY-7242	D-fructuronate degradation	7827.4208	8037.4134	10617.694	10537.2402	10038.2498	9196.8977	5084.2732	6648.0943	8300.3467	6636.5151	6829.3566	6670.5966	7363.254	8414.6033	7339.4974	7959.8077	8457.8913	7623.6759999999995
PWY-7254	TCA cycle VII (acetate-producers)	3459.2121	4158.1809	6701.2542	5013.0425	4877.5302	3996.2329999999997	4137.8659	7587.0267	7204.7653	6609.9145	4033.4464	6696.1207	5299.5581	5188.8197	5218.2703	4322.6634	5010.2187	5379.8127
PWY-7255	ergothioneine biosynthesis I (bacteria)	4775.9127	7511.3491	6311.5157	6087.5317	3923.7659	5177.0633	4064.6197	5778.785	6641.262	4517.1587	5070.6338	4791.6982	7707.7748	7501.9149	6666.4385	7854.8845	7376.5716	6425.0747
PWY-7295	L-arabinose degradation IV	3153.7384	2294.0648	3678.7041	3917.4823	4414.8349	4096.5087	1388.2934	1448.1197	2706.9954	2118.1885	1967.0586	1858.4045	2971.8494	3612.3049	2365.4424	2438.9768	2978.1946	2591.5734
PWY-7315	dTDP-N-acetylthomosamine biosynthesis	893.1538	532.5063	829.2575	591.3483	1027.0385	784.3316	2260.7062	1412.3646	1768.6571	1220.796	1629.6201	2181.1234	2275.3855	2263.2463	2103.1962	1597.6386	2467.3482	1220.1492
PWY-7316	dTDP-N-acetylviosamine biosynthesis	101.6857	55.9184	0.0	45.9485	0.0	77.8427	81.7535	79.8298	224.7373	171.0361	105.6601	117.5859	125.6442	89.8271	165.3302	137.5482	107.7354	149.4472
PWY-7323	superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis	13050.7511	13372.8252	15275.2814	14827.0543	15278.0956	15159.2243	11225.933	13072.5246	14238.7567	11429.9564	13116.168	14002.1426	15421.9372	16813.6218	15901.4612	15523.2213	15939.4486	14956.0367
PWY-7328	superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis	9722.5559	10305.7897	11758.6735	11641.1587	11813.2538	11694.4928	7901.4137	9022.6603	9410.2094	8053.2945	9254.9737	9591.2467	11066.0378	11991.0826	11195.5569	11602.0278	11578.5179	10792.1514
PWY-7332	superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis	955.4038	1178.4257	1761.6262	1153.8635	1140.742	1715.1228	1342.5534	1958.0211	1422.1778	676.1749	1289.2542	1736.8607	1191.0856	1364.8679	1280.9664	1515.6831	1903.5888	1235.961
PWY-7347	sucrose biosynthesis III	56.8833	91.1503	53.1597	25.4803	121.0875	134.4904	76.9532	279.5057	137.3331	24.7217	100.8209	203.9688	119.5334	109.1654	181.0693	152.1788	83.0367	65.8355
PWY-7371	1,4-dihydroxy-6-naphthoate biosynthesis II	1166.2334	1558.566	1398.739	1534.2909	527.4675	1182.9660000000001	1086.9366	1753.3662	2748.0687	1467.0986	1299.1494	1468.4844	1735.1119	1426.2464	1682.4475	2169.6255	1567.3082	1460.6773
PWY-7373	superpathway of demethylmenaquinol-6 biosynthesis II	0.0	0.0	0.0	39.2329	37.8474	0.0	110.8236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-7374	1,4-dihydroxy-6-naphthoate biosynthesis I	1301.9343	1782.1846	1564.9847	1718.3141	615.8403	1334.6235	1200.0121	1940.3219	2935.5332	1590.1963	1452.6315	1606.0374	1971.9173	1640.2006	1871.3405	2417.1927	1774.8953	1650.7403
PWY-7376	cob(II)yrinate a,c-diamide biosynthesis II (late cobalt incorporation)	6439.3636	8504.642	8943.9361	8277.3512	7288.0889	7906.414000000001	5538.6325	7015.9034	7510.4775	5771.9009	6843.513000000001	6869.5582	8444.5582	8779.8617	7988.2549	8702.3916	9039.7449	7692.8731
PWY-7377	cob(II)yrinate a,c-diamide biosynthesis I (early cobalt insertion)	268.0278	1095.9425	1095.4693	257.1723	766.1571	853.2491	2150.4984	2406.7258	2503.4721	1353.5136	2899.1301	2990.4333	2665.1926	3477.9276	2565.1787	2476.6512	3807.0865	1695.3089
PWY-7391	isoprene biosynthesis II (engineered)	796.4772	778.679	977.5501	728.2453	340.1114	554.7167	459.4228	986.928	2093.3279	1114.8237	762.7444	771.0944	1087.4145	1238.836	975.4624	1727.4439	842.8038	814.6892
PWY-7392	taxadiene biosynthesis (engineered)	12124.2986	15230.1247	15156.3508	14896.1123	12815.9727	13594.5756	10334.8209	13614.0513	15689.7782	11634.1841	12265.9402	12727.1725	16492.163	17013.9225	15227.2114	16720.3745	16272.0749	14639.6128
PWY-7398	coumarins biosynthesis (engineered)	210.5939	473.2668	330.1297	287.7518	216.9613	308.8293	201.6692	276.0613	218.859	180.4365	311.7216	279.5136	322.2489	279.4975	347.592	320.3602	213.899	318.9275
PWY-7400	L-arginine biosynthesis IV (archaebacteria)	13080.6928	15673.5267	16344.0494	15950.3604	14364.9222	15368.6414	12032.0604	14690.0715	15227.4767	11954.6103	13583.7009	14780.123	16703.2005	17192.995	16366.0959	16888.4591	17155.8579	15669.1022
PWY-7431	aromatic biogenic amine degradation (bacteria)	6948.121	8887.7504	8567.23	8988.064	7170.0464	7983.3943	5033.0476	7133.3447	8169.598000000001	6598.0043	6819.4884	7220.0627	8011.8535	7149.3509	7581.2924	9063.5803	8721.1642	7417.2653
PWY-7446	sulfoglycolysis	0.0	0.0	1.1957	0.0	23.5805	0.5992	0.7881	1.0657	0.0	0.0	2.3381	0.0	0.0	2.3716	0.0	0.7976	0.0	0.0
PWY-7456	mannan degradation	727.3864	1342.588	1919.0341	2278.9044	297.42900000000003	752.1483	698.9842	788.2129	1890.1493	1423.5994	340.1457	1045.3534	1042.5916	803.6472	827.1573	480.7827	497.9534	443.5496
PWY-7527	L-methionine salvage cycle III	659.9916	586.6686	605.2052	1621.3111	335.2201	711.2521	1451.3851	1226.4215	1010.2222	1067.2551	820.2393	1862.3175	337.0131	140.5222	472.4707	454.3435	380.4821	359.3905
PWY-7539	6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)	15892.8525	17362.2961	19247.7675	18860.8038	18355.8422	18737.6055	13464.8208	16416.6924	17969.4996	14180.4699	15566.3006	16644.8401	19230.5038	20808.2176	18887.9242	19608.8477	19981.4912	18543.0863
PWY-7560	methylerythritol phosphate pathway II	14728.0411	16072.0334	17370.9015	17893.7677	17503.8838	16885.5965	11938.618	14247.6141	16292.8803	12438.2721	14186.5214	14951.7826	17719.2603	19192.1257	16973.4208	18259.1919	18315.0279	16406.0029
PWY-7616	methanol oxidation to carbon dioxide	2304.8186	2877.031	3849.7934	2514.5351	1545.6767	2286.7799	2045.2329	3444.7754	4610.7445	3526.4707	2707.1211	3272.6681	2880.3757	2970.6788	3028.5229	4285.609	3141.6473	3297.9539
PWY-7663	gondoate biosynthesis (anaerobic)	23483.1691	22996.3136	30482.6325	28349.0163	30335.7622	28048.1238	19735.2578	24748.4964	26185.4514	21107.8432	23208.4259	24635.9974	26187.7926	29384.5435	27285.3911	26436.0185	27910.7955	26962.0112
PWY-7664	oleate biosynthesis IV (anaerobic)	19750.5736	16859.9445	23946.428	22241.2454	25390.5349	22230.9433	14812.1408	17713.2813	20997.4144	17654.3991	18074.8704	18051.9056	21070.3212	24749.1314	21341.8002	20861.7008	22363.892000000003	21560.2665
PWY-841	superpathway of purine nucleotides de novo biosynthesis I	18071.6304	19495.9368	22059.0093	21457.3194	21498.1815	21175.6032	14966.1462	18540.9784	20324.9823	15852.1717	17508.8549	18498.8884	21984.5195	23670.3899	21317.9719	21718.1476	22410.4571	20929.2442
PWY-922	mevalonate pathway I	973.5954	955.0782	1216.3183	1078.3109	482.5417	706.305	569.0346	1202.1592	2455.9006	1355.7568	937.5589	998.1735	1327.5283	1498.354	1189.27	1972.1834	1030.7376	1029.5535
PWY0-1061	superpathway of L-alanine biosynthesis	13941.2145	12971.243999999999	15793.9768	15683.0026	16735.3185	16363.2207	10342.4449	12568.3479	16816.4818	12067.2457	13069.9362	13304.7006	16706.9778	18456.6939	15478.5916	16740.4228	17125.9087	14961.6934
PWY0-1241	ADP-L-glycero-&beta;-D-manno-heptose biosynthesis	2577.4414	2333.1492	2595.9343	2480.4598	2553.8132	2648.2623	2336.2439	2384.2399	2409.4951	2186.9031	2562.3696	2937.4861	2264.2779	2501.0677	2988.1882	2714.5605	2458.7659	2613.3407
PWY0-1261	anhydromuropeptides recycling	16339.6915	17590.8046	20323.8708	20697.5985	19794.8253	19848.5294	14168.0644	16512.8646	18864.0542	14554.8563	16032.0494	17882.1039	19811.4933	21794.7496	18579.7828	19337.7053	20927.1301	18087.7608
PWY0-1277	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation	619.9515	801.7304	972.8652	424.7095	201.6696	659.8675	372.0496	835.7227	491.5591	389.0573	424.4783	687.4185	897.7355	25.3655	937.6346	958.5316	803.8341	868.6992
PWY0-1296	purine ribonucleosides degradation	5045.3629	4794.5191	6086.6431	7479.678000000001	6827.4909	6948.4624	3784.6761	4543.6511	4985.4957	3947.9874	4143.0502	5571.0343	4798.4284	6128.8743	4043.242	4765.9219	5766.2707	4517.181
PWY0-1297	superpathway of purine deoxyribonucleosides degradation	5501.8535	8125.4017	7868.0894	7208.6989	6442.9945	6653.2113	5969.2537	7446.7007	8240.7705	5808.2034	6374.2038	7416.8045	8657.8727	7259.1173	7814.9022	8254.9088	8803.1177	7394.095
PWY0-1298	superpathway of pyrimidine deoxyribonucleosides degradation	3445.0898	3465.5529	4554.2103	5132.2091	3705.7027	4518.1045	3137.8919	4717.946	5721.5657	3802.3379	3004.4249	4196.4368	4455.7655	4270.396	3981.4698	4260.0177	4242.8279	3907.4926
PWY0-1319	CDP-diacylglycerol biosynthesis II	23336.2154	22712.0169	27072.2374	27349.821	28990.25	27119.2226	17928.9728	21250.7556	23789.3608	19302.1113	21297.8818	22348.3971	26087.0521	29240.9634	25451.5259	26077.3805	27244.6641	25239.8782
PWY0-1338	polymyxin resistance	33.4431	45.646	39.0489	37.2007	61.1919	56.0092	151.7355	205.1662	79.0221	363.6317	100.6462	359.82	25.5552	24.9803	42.0642	37.6123	164.486	55.4799
PWY0-1415	superpathway of heme biosynthesis from uroporphyrinogen-III	8071.4512	10851.5401	10288.1009	10933.6605	7747.5127	8918.9797	7381.5877	9620.6634	10340.0388	7720.727	8523.9994	9146.9424	11718.0903	11180.3952	10662.9605	11476.4416	11130.7259	10310.1393
PWY0-1479	tRNA processing	12807.9187	12658.4499	14809.8953	14997.5672	15875.1185	15174.1189	9961.8054	11419.2803	12993.806	10199.3197	11943.0467	12368.6453	14971.6899	16655.9482	14255.7251	14545.4666	15640.7318	13863.4535
PWY0-1533	methylphosphonate degradation I	3889.9226	3705.7597	5644.7463	4721.2053	4972.8559	4628.6981	3245.4913	3986.535	3175.8519	3210.3503	3819.5041	4089.5306	2852.4084	3593.4462	3884.1556	3922.9305	3923.0926	3834.5075
PWY0-1586	peptidoglycan maturation (meso-diaminopimelate containing)	22695.764	22714.6415	26831.4421	27291.5942	28495.0781	27321.7288	16078.9868	18880.0773	25328.8374	19258.4303	19591.8763	20317.6105	27157.6009	30703.9473	23792.4855	25377.8591	27740.5915	23713.7751
PWY0-162	superpathway of pyrimidine ribonucleotides de novo biosynthesis	18129.6309	19345.1459	22204.5617	21569.3572	21749.0845	21284.7128	15173.3468	18693.5853	20492.3204	15953.5563	17635.5466	18694.2905	22043.6628	23877.247000000003	21462.4696	21749.4218	22543.619	21077.3302
PWY0-166	superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)	15776.7549	16855.6044	19229.1396	18625.2788	19112.7976	18678.7395	12331.8003	15397.5607	16740.5375	13530.7631	14809.1976	15436.0465	18284.4641	20026.5772	18022.8208	18312.7422	19135.0101	17910.4358
PWY0-321	phenylacetate degradation I (aerobic)	2499.0394	2586.5237	2831.7106	2331.9455	2863.9572	2837.5487	2164.3886	2658.1859	2069.617	2657.1304	2682.8209	3063.5652	2052.1957	2482.516	2727.4078	2367.2819	2685.7402	2695.4718
PWY0-41	allantoin degradation IV (anaerobic)	794.9110000000001	770.6316	994.6578	835.6215	605.3218	698.1366	493.3767	894.9534	1158.6819	932.5356	780.4797	828.1109	863.2577	1150.333	857.6771	1351.2092	895.2453	785.1792
PWY0-42	2-methylcitrate cycle I	3913.7929	3425.0832	4254.1759	4796.9045	5564.8924	5478.6901	3021.3911	3603.1065	4284.253	3509.8346	3799.7504	4038.3862	4667.8051	5444.5511	4569.9622	4276.2937	4866.7167	4488.8775
PWY0-781	aspartate superpathway	13829.645	15423.9735	17206.8006	16930.6473	14703.6281	16241.8741	11682.7536	14959.5654	16211.3284	12583.1313	13870.5656	14605.9551	17097.0597	17912.4812	16624.4329	17176.5139	17826.5716	16476.1433
PWY0-845	superpathway of pyridoxal 5'-phosphate biosynthesis and salvage	1706.8852	1222.1136	1545.4117	1245.9651	2690.5570000000002	1627.3907	2265.578	3254.4672	2257.4639	3182.8491	1981.1168	3786.469	1649.4281	1410.3658	1904.6868	1609.9383	2626.0755	1833.0205
PWY0-862	(5Z)-dodec-5-enoate biosynthesis	18468.1576	15484.5451	22263.3606	20647.6515	23846.1415	20692.3833	13711.8235	16344.5171	19508.7905	16506.9856	16810.1548	16698.6276	19531.7572	23083.1274	19813.5328	19322.0297	20763.2589	20046.3068
PWY1G-0	mycothiol biosynthesis	3824.5745	6754.4784	4975.9456	4958.4806	2902.0853	4082.2894	3372.3717	5079.8801	5653.5242	3778.4351	4409.7111	4105.166	6815.3781	5892.8367	5769.8117	6573.4951	6188.1572	5491.4321
PWY490-3	nitrate reduction VI (assimilatory)	1388.5273	1712.9593	2257.5065	1547.0268	1451.0069	1887.7162	2937.5898	2418.4582	2163.0288	1444.7415	2843.6949	2969.6968	2301.7721	2413.5626	2552.7846	2168.571	2820.2252	1883.7885
PWY4FS-7	phosphatidylglycerol biosynthesis I (plastidic)	19605.8274	20837.0833	23143.4614	22985.1731	22413.5504	22720.8747	16050.9857	19190.2599	21267.3726	16879.2341	18641.8163	19645.517	23306.0785	25075.1832	22710.866	23155.6071	23863.5073	22200.8006
PWY4FS-8	phosphatidylglycerol biosynthesis II (non-plastidic)	19605.8274	20837.0833	23143.4614	22985.1731	22413.5504	22720.8747	16050.9857	19190.2599	21267.3726	16879.2341	18641.8163	19645.517	23306.0785	25075.1832	22710.866	23155.6071	23863.5073	22200.8006
PWYG-321	mycolate biosynthesis	20938.6769	17855.4342	25296.017999999996	23526.2604	26833.5779	23516.3853	15633.3377	18713.6395	22212.8805	18692.0735	19134.5311	19056.1962	22326.2392	26213.5086	22584.6963	22111.9239	23689.5895	22814.1845
PYRIDNUCSAL-PWY	NAD salvage pathway I	12409.7822	13967.4931	14821.3513	14986.8021	13541.2141	14533.9623	9915.665	12204.7131	13720.8708	10621.4025	12027.3013	12534.9004	15078.3645	16038.7589	14480.9949	15161.948	15459.1528	14341.9063
PYRIDNUCSYN-PWY	NAD biosynthesis I (from aspartate)	14283.6653	15569.5147	16909.6861	16987.2518	17004.5616	16969.4442	11880.2573	13968.2203	15772.4477	12439.0848	13835.1761	14581.5926	17399.1641	18703.8158	17016.522	17380.568	17694.2185	16257.5856
PYRIDOXSYN-PWY	pyridoxal 5'-phosphate biosynthesis I	983.2314	612.2675	790.0096	625.8242	1826.0201	876.1221	1478.0639999999999	2419.6122	1478.4777	2854.0126	1186.4643	2883.6802	967.1592	767.5853	1105.6962	871.9508	1779.7212	1048.0487
REDCITCYC	TCA cycle VIII (helicobacter)	21813.8748	24193.1981	25784.5681	25138.9644	23262.6193	24484.307999999997	16968.4269	21378.3879	24418.0135	18652.1533	20124.4311	21100.2371	26631.1754	27637.2293	24800.7654	26699.7127	26456.9134	24623.4083
RHAMCAT-PWY	L-rhamnose degradation I	2823.5435	4886.7352	3865.5641	4120.4663	2666.7974	3476.1704	2318.2535	3466.8398	4125.462	3056.2339	3046.3949	3024.7859999999996	4076.0966	3762.0677	3833.8015	4640.0411	4365.1665	3322.9058
RIBOSYN2-PWY	flavin biosynthesis I (bacteria and plants)	16493.1768	17762.5776	20315.3074	19498.6699	19626.0081	19314.9863	13513.3622	16624.4617	18406.036	14428.2111	15882.1138	16771.1524	19943.6889	21627.5873	19256.4222	19673.1319	20703.7154	19042.7125
RUMP-PWY	formaldehyde oxidation I	861.4625	963.715	618.4447	2041.5857	685.9568	958.6615	1624.336	1550.9139	1233.7651	1308.3579	887.2679	2127.5295	754.0937	547.568	1087.9487	643.2838	684.4928	669.4918
SALVADEHYPOX-PWY	adenosine nucleotides degradation II	24881.8164	25297.8097	27400.3734	28681.4122	27922.8097	29539.6469	17017.2287	21355.5317	27645.8916	20673.8275	21950.761000000002	22525.7844	29764.7418	32900.2328	25989.2543	29520.685	30812.4425	25544.3043
SER-GLYSYN-PWY	superpathway of L-serine and glycine biosynthesis I	22130.6564	23413.7855	25378.1211	25265.986	25045.1188	25246.9131	17968.2953	21732.0239	25412.4447	19821.4966	21120.0046	22282.8214	26781.1882	28479.4456	25322.6747	27179.0201	27149.5089	24127.5961
SO4ASSIM-PWY	sulfate reduction I (assimilatory)	17113.4259	17370.2122	20658.4768	20397.5537	21246.0914	20789.093	12995.921	15551.7309	17999.6073	14603.1828	15475.0481	16675.1329	18165.38	21129.5485	18136.9627	19424.9059	19476.7235	18231.4297
SUCSYN-PWY	sucrose biosynthesis I (from photosynthesis)	187.6605	298.5417	175.7582	84.6028	396.58099999999996	439.53	251.9039	877.2538	447.4363	81.9574	329.3568	655.6747	391.0815	358.3946	585.5731	494.7272	273.3462	216.9245
SULFATE-CYS-PWY	superpathway of sulfate assimilation and cysteine biosynthesis	19633.0239	19703.2168	23323.2799	23024.9925	23904.5276	23238.5568	14969.6199	18029.5676	20863.9858	16827.8594	17873.6341	18983.1569	21627.2319	24451.0018	21083.5438	22255.1826	22711.3754	20970.4814
TCA	TCA cycle I (prokaryotic)	23678.7296	25624.6431	28875.367000000002	28107.9946	27736.4391	27698.4515	18836.9832	23569.5226	26871.9494	20577.6287	22391.46	23402.4589	28537.151	30630.8826	27447.6663	28500.4424	29087.3831	27064.0906
TCA-GLYOX-BYPASS	superpathway of glyoxylate bypass and TCA	17654.271	17501.389	20462.2374	20399.2331	21256.5312	21073.8039	12565.9995	14969.8546	17792.1989	14479.0976	15407.9933	16136.5016	19398.8122	21598.4469	18465.4847	19244.1207	20428.3989	18601.5684
TEICHOICACID-PWY	teichoic acid (poly-glycerol) biosynthesis	1230.4742	1947.3475	2013.283	1468.6342	832.209	1493.7527	938.3257	1459.2731	2034.668	1268.8501	1350.4122	1456.0201	1549.6671	1307.6489	1584.485	1778.0905	1408.9085	1525.3474
THISYN-PWY	superpathway of thiamin diphosphate biosynthesis I	3161.7768	5109.0943	8835.0945	4306.6547	2734.8832	3569.6299	3983.6655	6275.0896	8715.0196	6170.4071	4194.595	4410.1571	5532.0792	6097.8281	5196.0894	5017.8783	5335.1041	6446.9401
THREOCAT-PWY	superpathway of L-threonine metabolism	0.0	0.0	3.8832	0.0	0.0	1.9471	2.5947	5.1826	0.0	11.7931	7.7354	0.0	0.0	7.711	0.0	2.5959	0.0	0.0
THRESYN-PWY	superpathway of L-threonine biosynthesis	17057.1059	18601.4167	20947.1772	19951.4629	19871.2766	19780.0102	14070.7949	17609.1359	19729.6007	15295.2227	16469.2462	17380.4035	20880.1206	22248.2	19989.4623	20381.589	21121.9035	19762.7883
TRNA-CHARGING-PWY	tRNA charging	15673.3479	16001.6054	18899.5844	18455.8677	18971.0457	18426.1796	12504.2053	15459.315	17388.7941	13777.823999999999	14624.8066	15572.6739	18421.2464	20209.404	17898.7711	17998.0467	18724.504	17765.734
TRPSYN-PWY	L-tryptophan biosynthesis	16829.0017	18079.167	20488.3771	20420.1174	20222.3325	19788.3542	14071.015	17353.127	18870.9071	14861.625	16409.6411	17335.8833	20480.956000000002	21871.9823	19927.9106	20136.3009	20762.406000000003	19562.8702
TYRFUMCAT-PWY	L-tyrosine degradation I	12373.2974	10388.5153	14206.0478	14500.8765	16052.26	14449.3153	6865.9533	8531.6381	10964.5383	9339.3597	9604.578000000001	9456.4062	12748.5029	15513.4004	11353.5436	12280.8146	13655.7195	11919.2609
UBISYN-PWY	superpathway of ubiquinol-8 biosynthesis (prokaryotic)	14904.2681	13113.3584	17089.941000000003	17017.4064	19266.4512	17517.6722	10322.2537	12178.1443	14572.6561	11756.4644	12940.2875	13242.1526	15496.7513	18028.0666	15368.8815	15641.2923	16537.41	15468.8286
UDPNAGSYN-PWY	UDP-N-acetyl-D-glucosamine biosynthesis I	16296.6823	17673.9563	19024.2982	19341.9717	18981.8862	19217.6825	13449.1655	15939.3583	17598.4767	13821.7076	15756.4281	16669.4488	19441.8731	20881.8556	18915.8102	19485.2164	20140.2672	18349.122
VALDEG-PWY	L-valine degradation I	74.8453	98.7487	179.2451	98.7721	0.0	56.9244	65.8478	53.9176	89.7904	0.0	59.8967	101.7131	59.9149	0.0	86.8164	98.7716	56.9287	50.9352
VALSYN-PWY	L-valine biosynthesis	28737.6379	30912.1391	35848.0072	33806.0067	34073.1822	33297.7704	23259.4609	29455.014	32678.2191	25319.2543	27808.5472	28556.3698	34562.6963	37765.6282	33510.2097	34929.1418	35334.0871	33091.4176
